model_name,artifact,status,bytes,path
chronos_bolt_tiny,fev_chronos_bolt_paired_wape_units.csv,complete,22080555,analysis/figures/fev_chronos_bolt_paired_wape_units.csv
chronos_bolt_tiny,fev_chronos_bolt_paired_wape_contrasts.csv,complete,7015,analysis/figures/fev_chronos_bolt_paired_wape_contrasts.csv
chronos_bolt_tiny,fev_chronos_bolt_paired_wape_bootstrap_draws.csv,complete,4033313,analysis/figures/fev_chronos_bolt_paired_wape_bootstrap_draws.csv
chronos_bolt_tiny,fev_chronos_bolt_paired_wape_covariance.csv,complete,11591,analysis/figures/fev_chronos_bolt_paired_wape_covariance.csv
chronos_bolt_tiny,fev_chronos_bolt_paired_wape_covariance_long.csv,complete,57602,analysis/figures/fev_chronos_bolt_paired_wape_covariance_long.csv
chronos2,fev_chronos2_paired_wape_units.csv,complete,20574379,analysis/figures/fev_chronos2_paired_wape_units.csv
chronos2,fev_chronos2_paired_wape_contrasts.csv,complete,6657,analysis/figures/fev_chronos2_paired_wape_contrasts.csv
chronos2,fev_chronos2_paired_wape_bootstrap_draws.csv,complete,3678520,analysis/figures/fev_chronos2_paired_wape_bootstrap_draws.csv
chronos2,fev_chronos2_paired_wape_covariance.csv,complete,11225,analysis/figures/fev_chronos2_paired_wape_covariance.csv
chronos2,fev_chronos2_paired_wape_covariance_long.csv,complete,50396,analysis/figures/fev_chronos2_paired_wape_covariance_long.csv
